cluster;intention;mot_cle;page_cible;priorite;notes
locale;transactionnelle;irm cergy;/centres/cergy/irm;P1;requete reine — landing Ads
locale;transactionnelle;irm cergy pontoise;/centres/cergy/irm;P1;
locale;transactionnelle;centre irm cergy;/centres/cergy/irm;P1;
locale;transactionnelle;irm 95;/centres/cergy/irm;P2;
locale;transactionnelle;irm val d'oise;/centres/cergy/irm;P2;
locale;transactionnelle;rdv irm cergy;/prendre-rendez-vous;P1;
locale;transactionnelle;irm sans delai 95;/centres/cergy/irm;P2;promesse delai uniquement si q.21 confirmee
locale;transactionnelle;irm dimanche 95;/centres/cergy/irm;P1;argument 7j/7 feries inclus
locale;transactionnelle;irm ouverte dimanche val d'oise;/centres/cergy/irm;P2;
locale;transactionnelle;radiologie ouverte dimanche 95;/centres/cergy;P1;
locale;transactionnelle;irm jour ferie ile de france;/centres/cergy/irm;P3;
locale;transactionnelle;scanner cergy;/centres/cergy/scanner;P1;landing Ads
locale;transactionnelle;scanner cergy pontoise;/centres/cergy/scanner;P1;
locale;transactionnelle;scanner 95 sans rdv;/prendre-rendez-vous;P3;pas de sans-rdv — repondre honnetement
locale;transactionnelle;radiologie cergy;/centres/cergy;P1;
locale;transactionnelle;radiologie cergy prefecture;/centres/cergy;P1;quartier + RER A
locale;transactionnelle;centre de radiologie cergy;/centres/cergy;P1;
locale;transactionnelle;centre imagerie medicale cergy;/centres/cergy;P1;
locale;transactionnelle;radiologue cergy;/centres/cergy;P2;
locale;transactionnelle;echographie cergy;/centres/cergy/echographie;P1;
locale;transactionnelle;echographie val d'oise;/centres/cergy/echographie;P2;
locale;transactionnelle;doppler cergy;/centres/cergy/echographie;P2;
locale;transactionnelle;mammographie cergy;/centres/cergy/mammographie;P1;
locale;transactionnelle;mammographie 95;/centres/cergy/mammographie;P2;
locale;transactionnelle;depistage cancer du sein cergy;/centres/cergy/mammographie;P1;programme organise
locale;transactionnelle;tomosynthese cergy;/centres/cergy/mammographie;P2;equipement Hologic 3D confirme
locale;transactionnelle;radiographie cergy;/centres/cergy/radiographie;P1;
